{\rtf1\ansi\ansicpg1252\cocoartf2865
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 HelveticaNeue;}
{\colortbl;\red255\green255\blue255;\red24\green30\blue42;}
{\*\expandedcolortbl;;\cssrgb\c12157\c16078\c21569;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs28 \cf2 \expnd0\expndtw0\kerning0
Company,Country,Sub-Industry,Rank,Revenues ($USDm)\
Saudi Aramco,Saudi Arabia,Integrated Oil & Gas,1,355905\
Sinopec Group,China,Integrated Oil & Gas,2,267518\
China National Petroleum Corp (CNPC),China,Integrated Oil & Gas,3,265306\
Exxon Mobil Corp,USA,Integrated Oil & Gas,4,264938\
Royal Dutch Shell PLC,Netherlands,Integrated Oil & Gas,5,260591\
Kuwait Petroleum Corp,Kuwait,Integrated Oil & Gas,6,251936\
BP PLC,UK,Integrated Oil & Gas,7,244582\
Total SA,France,Integrated Oil & Gas,8,176249\
Lukoil OAO,Russia,Integrated Oil & Gas,9,144170\
Eni SpA,Italy,Integrated Oil & Gas,10,131821\
Valero Energy Corp,USA,Oil & Gas Refining & Marketing,11,130844\
Chevron Corp,USA,Integrated Oil & Gas,12,129925\
PDVSA,Venezuela,Integrated Oil & Gas,13,128439\
Pemex,Mexico,Integrated Oil & Gas,14,117502\
National Iranian Oil Co (NIOC),Iran,Integrated Oil & Gas,15,110000\
Gazprom OAO,Russia,Integrated Oil & Gas,16,106342\
Phillips 66,USA,Oil & Gas Refining & Marketing,17,102354\
Equinor ASA,Norway,Integrated Oil & Gas,18,79593\
Marathon Petroleum Corp,USA,Oil & Gas Refining & Marketing,19,75390\
PTT PCL,Thailand,Integrated Oil & Gas,20,74254\
JXTG Holdings Inc,Japan,Integrated Oil & Gas,21,72397\
Rosneft Oil Co,Russia,Integrated Oil & Gas,22,66827\
Indian Oil Corp Ltd,India,Oil & Gas Refining & Marketing,23,65106\
Petrobras,Brazil,Integrated Oil & Gas,24,64344\
Reliance Industries Ltd,India,Oil & Gas Refining & Marketing,25,62512\
Sonatrach,Algeria,Integrated Oil & Gas,26,60300\
Pertamina,Indonesia,Integrated Oil & Gas,27,57933\
SK Innovation Co Ltd,South Korea,Integrated Oil & Gas,28,48560\
Repsol SA,Spain,Integrated Oil & Gas,29,48422\
Centrica PLC,UK,Integrated Oil & Gas,30,47385\
Idemitsu Kosan Co Ltd,Japan,Oil & Gas Refining & Marketing,31,39908\
OMV AG,Austria,Integrated Oil & Gas,32,35231\
GS Caltex Corp,South Korea,Oil & Gas Refining & Marketing,33,32240\
PKN Orlen SA,Poland,Integrated Oil & Gas,34,30043\
S-Oil Corp,South Korea,Oil & Gas Refining & Marketing,35,22960\
Suncor Energy Inc,Canada,Integrated Oil & Gas,36,22709\
Hellenic Petroleum SA,Greece,Oil & Gas Refining & Marketing,37,21272\
Formosa Petrochemical Corp,Taiwan,Oil & Gas Refining & Marketing,38,20638\
MOL Hungarian Oil & Gas PLC,Hungary,Integrated Oil & Gas,39,19046\
Motor Oil (Hellas) Corinth Refineries SA,Greece,Oil & Gas Refining & Marketing,40,16541\
Galp Energia SGPS SA,Portugal,Integrated Oil & Gas,41,16223\
CEPSA,Spain,Integrated Oil & Gas,42,15906\
Cosmo Energy Holdings Co Ltd,Japan,Oil & Gas Refining & Marketing,43,15886\
Saras SpA,Italy,Oil & Gas Refining & Marketing,44,14227\
Neste Oyj,Finland,Oil & Gas Refining & Marketing,45,13165\
Tupras Turkiye Petrol Rafinerileri AS,Turkey,Oil & Gas Refining & Marketing,46,12896\
Bharat Petroleum Corp Ltd,India,Oil & Gas Refining & Marketing,47,12634\
Hindustan Petroleum Corp Ltd,India,Oil & Gas Refining & Marketing,48,11665\
Empresas Copec SA,Chile,Oil & Gas Refining & Marketing,49,10931\
Petron Corp,Philippines,Oil & Gas Refining & Marketing,50,9800\
Coal India Ltd,India,Coal & Consumable Fuels,51,14496\
China Shenhua Energy Co Ltd,China,Coal & Consumable Fuels,52,38260\
Yanzhou Coal Mining Co Ltd,China,Coal & Consumable Fuels,53,24619\
Peabody Energy Corp,USA,Coal & Consumable Fuels,54,5580\
Shaanxi Coal Industry Co Ltd,China,Coal & Consumable Fuels,55,8335\
Banpu PCL,Thailand,Coal & Consumable Fuels,56,3391\
Adaro Energy Tbk PT,Indonesia,Coal & Consumable Fuels,57,3620\
China Coal Energy Co Ltd,China,Coal & Consumable Fuels,58,15707\
Inner Mongolia Yitai Coal Co Ltd,China,Coal & Consumable Fuels,59,5738\
Washington H Soul Pattinson & Co Ltd,Australia,Coal & Consumable Fuels,60,1134\
Exxaro Resources Ltd,South Africa,Coal & Consumable Fuels,61,2808\
Whitehaven Coal Ltd,Australia,Coal & Consumable Fuels,62,1716\
Alliance Resource Partners LP,USA,Coal & Consumable Fuels,63,1976\
Arch Coal Inc,USA,Coal & Consumable Fuels,64,2442\
Bukit Asam Tbk PT,Indonesia,Coal & Consumable Fuels,65,1478\
Semirara Mining & Power Corp,Philippines,Coal & Consumable Fuels,66,803\
Indo Tambangraya Megah Tbk PT,Indonesia,Coal & Consumable Fuels,67,2008\
Foremother Ltd,China,Coal & Consumable Fuels,68,266\
Consol Energy Inc,USA,Coal & Consumable Fuels,69,1447\
NACCO Industries Inc,USA,Coal & Consumable Fuels,70,123\
Contura Energy Inc,USA,Coal & Consumable Fuels,71,2156\
Warrior Met Coal Inc,USA,Coal & Consumable Fuels,72,1373\
Geo Energy Resources Ltd,Singapore,Coal & Consumable Fuels,73,348\
Hallador Energy Co,USA,Coal & Consumable Fuels,74,277\
Golden Energy and Resources Ltd,Singapore,Coal & Consumable Fuels,75,1048\
Resource Generation Ltd,South Africa,Coal & Consumable Fuels,76,0\
Bumi Resources Tbk PT,Indonesia,Coal & Consumable Fuels,77,1121\
Terracom Ltd,Australia,Coal & Consumable Fuels,78,103\
Bathurst Resources Ltd,New Zealand,Coal & Consumable Fuels,79,165\
Bisichi Mining PLC,UK,Coal & Consumable Fuels,80,63\
Athabasca Oil Corp,Canada,Integrated Oil & Gas,81,643\
Obsidian Energy Ltd,Canada,Integrated Oil & Gas,82,342\
