company_searched,gtr_org_name,gtr_org_id,role,project_title,project_id,funder,grant_category,status,grant_value,lead_org,start_date,end_date,abstract
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,UK Robotics and Artificial Intelligence Hub for Offshore Energy Asset Integrity Management,6AE9C598-E91F-4B12-8CD7-275979310530,ISCF,Research Grant,Closed,15223234,Heriot-Watt University,2017-10-01,2022-03-30,"The international offshore energy industry currently faces the triple challenges of an oil price expected to remain less than $50 a barrel, significant expensive decommissioning commitments of old infrastructure (especially North Sea) and small margins on the traded commodity price per KWh of offshore renewable energy. Further, the offshore workforce is ageing as new generations of suitable graduates prefer not to work in hazardous places offshore. Operators therefore seek more cost effective, s"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,Power Semiconductor Devices for Smart Grid Applications,DAD118A3-B938-4085-8171-16B8BF0FFEBA,EPSRC,Studentship,Closed,,University of Cambridge,2019-09-30,2023-03-30,"The primary goal of the project is to investigate the design and optimization of power semiconductor devices for high efficiency power converters. In particular, improved design features of Schottky diodes and power MOSFETs, which are to be implemented using Silicon carbide (4H-SiC) technology, are to be proposed. This is a natural field and topic of research, due to the substantial reductions in overall unit costs, which could be achieved by means of further progress and enhancement of the afor"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,A Calculus for Software Engineering of Mobile and Autonomous Robots,82795A72-E09E-471D-8ADF-48CD8F1FCE73,EPSRC,Research Grant,Closed,1766824,University of York,2015-08-31,2021-06-29,"The basic mathematical principles that guide the engineering of software are, by far and large, known. The techniques whose notations and procedures are justified by these principles are called formal methods, and it is just relatively recently that main players in industry like Microsoft have started using formal methods to improve the quality of their products. What is routine in many engineering disciplines is just now becoming feasible for software developers. 

The practical use of formal m"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,Advanced Continuous Tow Shearing in 3D (ACTS3D): Advanced fibre placement technology for manufacturing defect-free complex 3D composite structures,EDDC6B31-EDEC-4CEE-A37D-4A0BF7F04D04,EPSRC,Research Grant,Closed,518155,University of Bristol,2018-04-30,2022-09-29,"The aerospace industry is the key sector for growth of the UK economy. The potential market share of the UK, which is specialised in the most complicated and high tech aircraft parts, is estimated to be around $600 billion. This enormous market demand was also driven by the environmental issue, which requires the lightweight composite aircraft structures to meet the future CO2 emission regulations.
The automated fibre placement (AFP) process is the core technology that underpins the UK's aerospa"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,RoboTest: : Systematic Model-Based Testing and Simulation of Mobile Autonomous Robots,ADEDF293-EAA9-4EB4-8A4B-44ABC5F1C51B,EPSRC,Research Grant,Closed,1166973,University of York,2018-03-31,2024-08-30,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details."
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,AURA-NMS: Autonomous Regional Active Network Management System,DB924504-CDB3-473F-8497-72290F8C4A16,EPSRC,Research Grant,Closed,2512336,Imperial College London,2007-01-01,2010-06-29,"Electricity is so deeply ingrained in everyday life that when it is not available many things, essential and simply pleasurable, cease working. Finding ways to better manage faults in electricity distribution systems is a key way of improving the quality of supply offered to customers. Society also faces choices about its sources of energy and we need to find ways to remove technical barriers to the connection of small scale renewable generation without large cost penalties. The reasons that bot"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,Integrated Development of Low-Carbon Energy Systems (IDLES): A Whole-System Paradigm for Creating a National Strategy,66E8816F-9D9F-45A0-A594-77A64290BB49,EPSRC,Research Grant,Closed,7047664,Imperial College London,2018-11-01,2024-04-29,"The long-term evolution of energy systems is set by the investment decisions of very many actors such as up-stream resource companies, power plant operators, network infrastructure providers, vehicle owners, transport system operators and building developers and occupiers. But these decisions are deliberately shaped by markets and incentives that have been designed by local and national governments to achieve policy objectives on energy, air-quality, economic growth and so on. It is clear then t"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,CAMBER - Concrete Additive Manufacturing for the Built Environment using Robotics,A8B28DA4-B3DD-43D1-B645-B7F42D6BFD14,EPSRC,Research Grant,Closed,49577,Loughborough University,2017-03-01,2019-04-29,"Concrete is widely used in construction due to its ability to provide structural capacity and function cost effectively and at scale. However, its role in construction does not lend itself to creativity in design. High-end clients typically demand state-of-the-art designs, presenting a challenge in a sector where every building is essentially different to the last.

The CAMBER project will seek to develop an innovative 3D concrete printing (3DCP) platform that meets these demands. 3DCP has the p"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,Sustainable Power Cable Materials Technologies with Improved Whole Life Performance,92862220-3381-4875-B736-C4CB4492DB83,EPSRC,Research Grant,Closed,192156,University of Southampton,2008-09-30,2010-12-31,"Current extruded polymeric cable materials technologies are based on crosslinked polyethylene and, consequently, suffer from two major problems. Polyethylene melts at a relatively low temperature (~90 to 110C) and therefore crosslinking is employed to give improved thermomechanical stability. However, this only results in a safe maximum working temperature of ~95C, whilst rendering the material extremely difficult to recycle at the end of the cable's life. These factors limit cable circuit perfo"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,A Wide-Area System for Power Transmission Security Enhancement Using a Process Systems Approach,DB3A561E-8376-42A2-88B9-DBB261D70AF7,EPSRC,Research Grant,Closed,272984,Imperial College London,2007-08-31,2011-02-28,"Following a series of serious power blackout incidents in 2003, policy makers in the European Union and the USA have highlighted (i) the need for improved a.c. transmission grid infrastructure and advanced control technologies to enhance stability and security in an increasingly complex operating environment, and (ii) the importance of emerging measurement-based technology towards achieving such enhanced operation. The concept of this proposal is a system for transmission security assessment usi"
